,n,fwhm [px],min,max
0543m355_i.fits.fz,46,3.766948277127778,-0.03921189,64.06679
0548m357_z.fits.fz,61,3.779620761135874,-6.842044,60.65074
0546m350_i.fits.fz,40,3.7876839005248413,-0.20303239,31.27975
0542m357_z.fits.fz,53,3.673105008818035,-2.5552511,61.55193
0545m357_g.fits.fz,55,4.176966962509111,-0.01434899,57.78118
0548m352_r.fits.fz,53,3.825810646847949,-2.9570782,53.898087
0542m352_g.fits.fz,41,4.177189229049261,-0.011109709,37.162228
0545m352_z.fits.fz,56,3.677545629301483,-0.8762398,41.357735
0546m350_z.fits.fz,40,3.6567970298920485,-0.09427064,46.58088
0545m357_r.fits.fz,55,3.7695025002394114,-0.029878132,81.19971
0549m355_i.fits.fz,64,3.7137677257403783,-1.1680528,32.669697
0545m352_i.fits.fz,56,3.7644799897210146,-2.2476332,45.61592
0548m357_r.fits.fz,61,3.873290121468601,-1.2940412,46.834602
0549m355_g.fits.fz,64,4.188526865092079,-0.008285321,111.61315
0548m357_g.fits.fz,61,4.179231271089093,-0.29742363,125.56503
0549m355_z.fits.fz,64,3.6467879937264054,-5.4191647,56.655247
0546m355_z.fits.fz,50,3.773347567362832,-8.172228,56.257072
0543m355_r.fits.fz,46,3.809191655601252,-2.52241,63.28106
0546m355_r.fits.fz,50,3.876642433270045,-1.7875892,60.349773
0542m352_z.fits.fz,41,3.5230904463396397,-0.08053565,46.953518
0548m357_i.fits.fz,61,3.844007622176641,-1.5880644,44.0124
0546m355_g.fits.fz,50,4.220427671278204,-1.4975002,115.4374
0546m350_g.fits.fz,40,4.213650915649007,-0.016023073,123.46139
0542m357_i.fits.fz,53,3.7846518789512076,-0.29791123,86.9826
0548m352_g.fits.fz,53,4.208327468818524,-0.10311731,123.98268
0543m355_g.fits.fz,46,4.209547599313467,-0.019982973,114.154724
0546m350_r.fits.fz,40,3.840674139532112,-0.0772792,77.16296
0542m352_r.fits.fz,41,3.7674276842118313,-0.08481896,72.60745
0548m352_i.fits.fz,53,3.7719410816058625,-3.4196587,36.462666
0545m357_z.fits.fz,55,3.5661316207356633,-0.34097925,57.825768
0542m357_g.fits.fz,53,4.1962851614742975,-0.25135043,119.01083
0546m355_i.fits.fz,50,3.8265011046464874,-1.7705785,45.095135
0548m352_z.fits.fz,53,3.6931627966467455,-1.7637498,48.10834
0545m352_r.fits.fz,56,3.8386006621839903,-0.7868734,55.926273
0545m352_g.fits.fz,56,4.174084420405809,-0.11094137,106.88431
0545m357_i.fits.fz,55,3.692558967539308,-0.93754244,80.62619
0542m352_i.fits.fz,41,3.6468936806843186,-0.24965513,66.9477
0549m355_r.fits.fz,64,3.7541677933213107,-1.5385058,45.134968
0542m357_r.fits.fz,53,3.8362304499968722,-0.63643295,71.25406
0543m355_z.fits.fz,46,3.633884968078172,-0.074449435,56.535446
